기간,Brent
09년12월23일,75.45
09년12월24일,76.31
09년12월28일,77.32
09년12월29일,77.64
09년12월30일,78.03
09년12월31일,77.93
10년01월04일,80.12
10년01월05일,80.59
10년01월06일,81.89
10년01월07일,81.51
10년01월08일,81.37
10년01월11일,80.97
10년01월12일,79.3
10년01월13일,78.31
10년01월14일,77.82
10년01월15일,77.11
10년01월18일,77.1
10년01월19일,77.63
10년01월20일,76.32
10년01월21일,74.58
10년01월22일,72.83
10년01월25일,73.69
10년01월26일,73.29
10년01월27일,72.24
10년01월28일,72.13
10년01월29일,71.46
10년02월01일,73.11
10년02월02일,76.06
10년02월03일,75.92
10년02월04일,72.13
10년02월05일,69.59
10년02월08일,70.11
10년02월09일,72.13
10년02월10일,72.54
10년02월11일,73.05
10년02월12일,72.9
10년02월15일,72.51
10년02월16일,75.68
10년02월17일,76.27
10년02월18일,77.78
10년02월19일,78.19
10년02월22일,78.61
10년02월23일,77.25
10년02월24일,78.09
10년02월25일,76.29
10년02월26일,77.59
10년03월01일,76.89
10년03월02일,78.18
10년03월03일,79.25
10년03월04일,78.54
10년03월05일,79.89
10년03월08일,80.47
10년03월09일,79.91
10년03월10일,80.48
10년03월11일,80.28
10년03월12일,79.39
10년03월15일,77.89
10년03월16일,79.02
10년03월17일,81.96
10년03월18일,81.48
10년03월19일,79.88
10년03월22일,80.54
10년03월23일,80.7
10년03월24일,79.62
10년03월25일,79.61
10년03월26일,79.29
10년03월29일,81.17
10년03월30일,81.28
10년03월31일,82.7
10년04월01일,84.01
10년04월05일,85.88
10년04월06일,86.15
10년04월07일,85.59
10년04월08일,84.81
10년04월09일,84.83
10년04월12일,84.77
10년04월13일,84.72
10년04월14일,86.15
10년04월15일,87.17
10년04월16일,85.99
10년04월19일,84.23
10년04월20일,84.8
10년04월21일,85.7
10년04월22일,85.67
10년04월23일,87.25
10년04월26일,86.83
10년04월27일,85.78
10년04월28일,86.16
10년04월29일,86.9
10년04월30일,87.44
10년05월03일,88.94
10년05월04일,85.67
10년05월05일,82.61
10년05월06일,79.83
10년05월07일,78.27
10년05월10일,80.12
10년05월11일,80.49
10년05월12일,81.2
10년05월13일,80.11
10년05월14일,77.18
10년05월17일,75.1
10년05월18일,74.43
10년05월19일,73.69
10년05월20일,71.84
10년05월21일,71.68
10년05월24일,71.17
10년05월25일,69.55
10년05월26일,71.74
10년05월27일,74.66
10년05월28일,74.02
10년05월31일,74.65
10년06월01일,72.71
10년06월02일,73.75
10년06월03일,75.41
10년06월04일,72.09
10년06월07일,72.12
10년06월08일,72.3
10년06월09일,74.27
10년06월10일,75.29
10년06월11일,74.35
10년06월14일,75.2
10년06월15일,76.2
10년06월16일,78.14
10년06월17일,78.68
10년06월18일,78.22
10년06월21일,78.82
10년06월22일,78.04
10년06월23일,76.27
10년06월24일,76.47
10년06월25일,78.12
10년06월28일,77.59
10년06월29일,75.44
10년06월30일,75.01
10년07월01일,72.34
10년07월02일,71.65
10년07월05일,71.47
10년07월06일,71.45
10년07월07일,73.51
10년07월08일,74.71
10년07월09일,75.42
10년07월12일,74.37
10년07월13일,76.65
10년07월14일,76.77
10년07월15일,76.19
10년07월16일,75.37
10년07월19일,75.62
10년07월20일,76.22
10년07월21일,75.37
10년07월22일,77.82
10년07월23일,77.45
10년07월26일,77.5
10년07월27일,76.13
10년07월28일,76.06
10년07월29일,77.59
10년07월30일,78.18
10년08월02일,80.82
10년08월03일,82.68
10년08월04일,82.2
10년08월05일,81.61
10년08월06일,80.16
10년08월09일,80.99
10년08월10일,79.6
10년08월11일,77.64
10년08월12일,75.52
10년08월13일,75.11
10년08월16일,74.85
10년08월17일,76.93
10년08월18일,76.47
10년08월19일,75.3
10년08월20일,74.26
10년08월23일,73.62
10년08월24일,72.38
10년08월25일,73.48
10년08월26일,75.02
10년08월27일,76.65
10년08월30일,76.6
10년08월31일,74.64
10년09월01일,76.35
10년09월02일,76.93
10년09월03일,76.67
10년09월06일,76.87
10년09월07일,77.74
10년09월08일,78.17
10년09월09일,77.47
10년09월10일,78.16
10년09월13일,79.03
10년09월14일,79.16
10년09월15일,78.91
10년09월16일,78.48
10년09월17일,78.21
10년09월20일,79.32
10년09월21일,78.42
10년09월22일,77.95
10년09월23일,78.11
10년09월24일,78.87
10년09월27일,78.57
10년09월28일,78.71
10년09월29일,80.77
10년09월30일,82.31
10년10월01일,83.75
10년10월04일,83.28
10년10월05일,84.84
10년10월06일,85.06
10년10월07일,83.43
10년10월08일,84.03
10년10월11일,83.72
10년10월12일,83.5
10년10월13일,84.64
10년10월14일,84.53
10년10월15일,82.45
10년10월18일,84.37
10년10월19일,81.1
10년10월20일,83.6
10년10월21일,81.83
10년10월22일,82.96
10년10월25일,83.54
10년10월26일,83.66
10년10월27일,83.23
10년10월28일,83.59
10년10월29일,83.15
10년11월01일,84.62
10년11월02일,85.41
10년11월03일,86.38
10년11월04일,88
10년11월05일,88.11
10년11월08일,88.46
10년11월09일,88.33
10년11월10일,88.96
10년11월11일,88.81
10년11월12일,86.34
10년11월15일,86.7
10년11월16일,84.73
10년11월17일,83.28
10년11월18일,85.05
10년11월19일,84.34
10년11월22일,83.96
10년11월23일,83.25
10년11월24일,85.84
10년11월25일,86.1
10년11월26일,85.58
10년11월29일,87.34
10년11월30일,85.92
10년12월01일,88.87
10년12월02일,90.69
10년12월03일,91.42
10년12월06일,91.45
10년12월07일,91.39
10년12월08일,90.77
